,id,title,tags
0,19995,Avatar,"action adventure fantasy sciencefiction 22nd century, paraplegic marine dispatched moon pandora unique mission, becomes torn following order protecting alien civilization. cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d jamescameron samworthington zoesaldana sigourneyweaver"
1,285,Pirates of the Caribbean: At World's End,"adventure fantasy action captain barbossa, long believed dead, come back life headed edge earth turner elizabeth swann. nothing quite seems. ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger goreverbinski johnnydepp orlandobloom keiraknightley"
2,206647,Spectre,"action adventure crime cryptic message bond’s past sends trail uncover sinister organization. battle political force keep secret service alive, bond peel back layer deceit reveal terrible truth behind spectre. spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom sammendes danielcraig christophwaltz léaseydoux"
3,49026,The Dark Knight Rises,"action crime drama thriller following death district attorney harvey dent, batman assumes responsibility dent's crime protect late attorney's reputation subsequently hunted gotham city police department. eight year later, batman encounter mysterious selina kyle villainous bane, new terrorist leader overwhelms gotham's finest. dark knight resurfaces protect city branded enemy. dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christophernolan christianbale michaelcaine garyoldman"
4,49529,John Carter,"action adventure sciencefiction john carter war-weary, former military captain who's inexplicably transported mysterious exotic planet barsoom (mars) reluctantly becomes embroiled epic conflict. world brink collapse, carter rediscovers humanity realizes survival barsoom people rest hands. basedonnovel mar medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d andrewstanton taylorkitsch lynncollins samanthamorton"
5,559,Spider-Man 3,"fantasy action adventure seemingly invincible spider-man go all-new crop villain – including shape-shifting sandman. spider-man’s superpower altered alien organism, alter ego, peter parker, deal nemesis eddie brock also get caught love triangle. dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge samraimi tobeymaguire kirstendunst jamesfranco"
6,38757,Tangled,"animation family kingdom's wanted-and charming-bandit flynn rider hide mysterious tower, he's taken hostage rapunzel, beautiful feisty tower-bound teen 70 foot magical, golden hair. flynn's curious captor, who's looking ticket tower locked away years, strike deal handsome thief unlikely duo set action-packed escapade, complete super-cop horse, over-protective chameleon gruff gang pub thugs. hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick byronhoward zacharylevi mandymoore donnamurphy"
7,99861,Avengers: Age of Ultron,"action adventure sciencefiction tony stark try jumpstart dormant peacekeeping program, thing go awry earth’s mightiest hero put ultimate test fate planet hang balance. villainous ultron emerges, avenger stop enacting terrible plans, soon uneasy alliance unexpected action pave way epic unique global adventure. marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d josswhedon robertdowneyjr. chrishemsworth markruffalo"
8,767,Harry Potter and the Half-Blood Prince,"adventure fantasy family harry begin sixth year hogwarts, discovers old book marked 'property half-blood prince', begin learn lord voldemort's dark past. witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf davidyates danielradcliffe rupertgrint emmawatson"
9,209112,Batman v Superman: Dawn of Justice,"action adventure fantasy fearing action god-like super hero left unchecked, gotham city’s formidable, forceful vigilante take metropolis’s revered, modern-day savior, world wrestle sort hero really needs. batman superman war one another, new threat quickly arises, putting mankind greater danger it’s ever known before. dccomics vigilante superhero basedoncomicbook revenge superpower clarkkent brucewayne dcextendeduniverse zacksnyder benaffleck henrycavill galgadot"
10,1452,Superman Returns,"adventure fantasy action sciencefiction superman return discover 5-year absence allowed lex luthor walk free, closest felt abandoned moved on. luthor plot ultimate revenge could see million killed change face planet forever, well ridding man steel. savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpower superhumanstrength lexluthor bryansinger brandonrouth kevinspacey katebosworth"
11,10764,Quantum of Solace,"adventure action thriller crime quantum solace continues adventure james bond casino royale. betrayed vesper, woman loved, 007 fight urge make latest mission personal. pursuing determination uncover truth, bond interrogate mr. white, reveals organization blackmailed vesper far complex dangerous anyone imagined. killing undercover secretagent britishsecretservice marcforster danielcraig olgakurylenko mathieuamalric"
12,58,Pirates of the Caribbean: Dead Man's Chest,"adventure fantasy action captain jack sparrow work way blood debt ghostly davey jones, also attempt avoid eternal damnation. witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger goreverbinski johnnydepp orlandobloom keiraknightley"
13,57201,The Lone Ranger,"action adventure western texas ranger chase gang outlaw led butch cavendish, gang ambush rangers, seemingly killing all. one survivor found, however, american indian named tonto, nurse back health. ranger, donning mask riding white stallion named silver, team tonto bring unscrupulous gang others ilk justice. texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto goreverbinski johnnydepp armiehammer williamfichtner"
14,49521,Man of Steel,"action adventure fantasy sciencefiction young boy learns extraordinary power earth. young man, journey discover came sent do. hero must emerge save world annihilation become symbol hope mankind. savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpower dcextendeduniverse zacksnyder henrycavill amyadams michaelshannon"
15,2454,The Chronicles of Narnia: Prince Caspian,"adventure family fantasy one year incredible adventure lion, witch wardrobe, peter, edmund, lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz. now, help colorful cast new characters, including trufflehunter badger nikabrik dwarf, pevensie clan embarks incredible quest ensure narnia returned rightful heir. basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld andrewadamson benbarnes williammoseley annapopplewell"
16,24428,The Avengers,"sciencefiction action adventure unexpected enemy emerges threatens global safety security, nick fury, director international peacekeeping agency known s.h.i.e.l.d., find need team pull world back brink disaster. spanning globe, daring recruitment effort begins! newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse josswhedon robertdowneyjr. chrisevans markruffalo"
17,1865,Pirates of the Caribbean: On Stranger Tides,"adventure action fantasy captain jack sparrow cross path woman past, he's sure love -- ruthless con artist who's using find fabled fountain youth. force aboard queen anne's revenge, ship formidable pirate blackbeard, jack find unexpected adventure know fear more: blackbeard woman past. sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d robmarshall johnnydepp penélopecruz ianmcshane"
18,41154,Men in Black 3,"action comedy sciencefiction agent j (will smith) k (tommy lee jones) back...in time. j seen inexplicable thing 15 year men black, nothing, even aliens, perplexes much wry, reticent partner. k's life fate planet put stake, agent j travel back time put thing right. j discovers secret universe k never told - secret reveal team young agent k (josh brolin) save partner, agency, future humankind. timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory barrysonnenfeld willsmith tommyleejones joshbrolin"
19,122917,The Hobbit: The Battle of the Five Armies,"action adventure fantasy immediately event desolation smaug, bilbo dwarf try defend erebor's mountain treasure others claim it: men ruined laketown elf mirkwood. meanwhile army orcs led azog defiler marching erebor, fueled rise dark lord sauron. dwarves, elf men must unite, hope middle-earth fall bilbo's hands. corruption elf dwarf orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery peterjackson martinfreeman ianmckellen richardarmitage"
20,1930,The Amazing Spider-Man,"action adventure fantasy peter parker outcast high schooler abandoned parent boy, leaving raised uncle ben aunt may. like teenagers, peter trying figure got person today. peter discovers mysterious briefcase belonged father, begin quest understand parents' disappearance – leading directly oscorp lab dr. curt connors, father's former partner. spider-man set collision course connors' alter ego, lizard, peter make life-altering choice use power shape destiny become hero. lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpower geneticengineering socialoutcast duringcreditsstinger marcwebb andrewgarfield emmastone rhysifans"
